epoch,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,val_boundary_dice
1,0.7129507813833457,0.6787063384056091,0.01652885914547369,0.008605037726229057,0.18158794237766415,0.009267627274384722,0.00599988569745495
2,0.6401362176490041,0.6298652684688568,0.10187172670569844,0.06678245614003962,0.5324927431344986,0.08035630185414255,0.03397965193672389
3,0.6158165831481461,0.6143460953235627,0.231803714632988,0.1561101613007486,0.31989681884646415,0.25557939931750295,0.15222285525873303
4,0.6031131657351435,0.5846502304077148,0.3093246519565582,0.210315473228693,0.3463787017762661,0.3779091727733612,0.24417559165507555
5,0.583422502585217,0.5430769085884094,0.37936795622110364,0.26952030599117277,0.5431873515248299,0.39682190120220184,0.2356949955224991
6,0.5749761580893423,0.6012699127197265,0.2781990246474743,0.18793054848909377,0.29199630081653594,0.3779903793334961,0.2556664577126503
7,0.6438099773584214,0.6449326753616333,0.11851727339206264,0.07763566520996391,0.5981300483644009,0.09127219244372099,0.04577438123131786
8,0.6009409686105441,0.6167472720146179,0.23344611680018715,0.16750154048670082,0.8489773559570313,0.19507406980264932,0.09262058266874697
9,0.5428145675532585,0.5132960498332977,0.4288876813650131,0.31075939774513245,0.4460055375099182,0.6138077634572983,0.3696997231245041
10,0.5080855852734726,0.4664113712310791,0.49242458820343016,0.3660203766822815,0.6055679559707642,0.584582062959671,0.3667945331335068
11,0.4832511069500341,0.44967626690864565,0.4992614334821701,0.3732630807161331,0.5872592043876648,0.6060303044319153,0.3739283084869385
12,0.4677062282520058,0.5120722019672393,0.43259586751461027,0.3078524303436279,0.5069589394330979,0.580102334022522,0.37938247233629224
13,0.4607794377128635,0.43593534111976623,0.5127848172187806,0.3856918144226074,0.5060842221975327,0.7287005686759949,0.4925138133764267
14,0.44776015761679255,0.46032206058502195,0.478477697968483,0.3559246137738228,0.43432955384254457,0.7617678594589233,0.5105920243263244
15,0.43485141341137673,0.4353929841518402,0.5444883292913437,0.4272893062233925,0.7163721513748169,0.5981574952602386,0.39747737228870395
16,0.43110365585415766,0.41606997668743134,0.5566305834054946,0.43020076990127565,0.6194024336338043,0.6843384897708893,0.47420926094055177
17,0.41225307019410934,0.384243745803833,0.5746488356590271,0.4472597938776016,0.5842380678653717,0.728837503194809,0.500468966960907
18,0.3980979637234612,0.37110291957855224,0.605399187207222,0.4843895161151886,0.6374213802814483,0.7444841241836548,0.5121869647502899
19,0.3880880580539197,0.3684562575817108,0.6088492941856384,0.4842188763618469,0.6521109843254089,0.7394143986701965,0.5077251386642456
20,0.38483299341349475,0.368188693523407,0.5922455620765686,0.4660471734404564,0.5526000016927719,0.8023978853225708,0.5670837426185608
21,0.3779728893948867,0.3335762196779251,0.6544021010398865,0.536109926700592,0.6946630275249481,0.7280870711803437,0.516651622056961
22,0.3503154616440292,0.31095379233360293,0.6842191004753113,0.5660740780830383,0.7379519629478455,0.7412126195430756,0.5235926353931427
23,0.3493675437253133,0.3280349749326706,0.6728315806388855,0.5603773856163025,0.8099871420860291,0.6797620534896851,0.4712535750865936
24,0.31891561424837706,0.33339660346508027,0.6670396006107331,0.5442434155941009,0.6441300082206726,0.8205576634407044,0.5946514725685119
25,0.3339235460863704,0.3062862980365753,0.6933599853515625,0.5765091896057128,0.7012145781517028,0.7665832829475403,0.5552452278137207
26,0.31664391982871876,0.32249707281589507,0.6879442954063415,0.5734248828887939,0.7146233224868774,0.7516851818561554,0.5491904735565185
27,0.31069477838752546,0.31142795145511626,0.6776851344108582,0.5583479696512222,0.6689881813526154,0.7981007134914399,0.5706798934936523
28,0.30950849127452984,0.2878326481580734,0.718688862323761,0.6108669161796569,0.7585356593132019,0.7617773985862732,0.5528010201454162
29,0.30118240936931256,0.28998457849025727,0.7072698855400086,0.5982946449518204,0.7480851697921753,0.7723878252506257,0.5594097411632538
30,0.2887531965970993,0.29751564502716066,0.704080023765564,0.5962574911117554,0.7334521448612213,0.7765955674648285,0.5628917264938355
31,0.30721143758402464,0.2949112328886986,0.7123217177391052,0.6033883953094482,0.747697184085846,0.7720938730239868,0.5604789054393768
32,0.3013060222157335,0.3309012943506241,0.6919638204574585,0.5869673609733581,0.7806311309337616,0.695740122795105,0.5069542527198792
33,0.2949562445282936,0.3134943127632141,0.7104367780685424,0.6019804942607879,0.787778788805008,0.7233718860149384,0.5270006048679352
34,0.2810729465125936,0.31117092102766036,0.7070074391365051,0.6011233484745026,0.7823411297798156,0.728197125196457,0.5315411341190338
35,0.28403970856318433,0.30457956820726395,0.7046105837821961,0.5958723652362824,0.7262501609325409,0.7692697858810424,0.561029736995697
36,0.27881750820484835,0.3281929925084114,0.68860675573349,0.5883169782161712,0.8217929840087891,0.6939996302127838,0.5010343146324158
37,0.2818642104357745,0.3057122099399567,0.6763939607143402,0.5541086626052857,0.6622921979427338,0.803444218635559,0.5759245049953461
38,0.28201418923856936,0.287757588326931,0.7104089224338531,0.6009275674819946,0.7596480011940002,0.7631225574016571,0.548431487083435
39,0.2888998540233722,0.2818443423509598,0.7085819172859192,0.5980805927515029,0.7423963832855225,0.7915157079696655,0.5649861252307892
40,0.2750323337000028,0.2776706665754318,0.7243505156040192,0.6189034819602967,0.7541158652305603,0.7913897466659546,0.5776143193244934
41,0.272182656600412,0.30211605727672575,0.7014954495429992,0.5929986536502838,0.7417483985424042,0.7637705457210541,0.5630830991268158
