epoch,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,val_boundary_dice
1,1.1419539156213272,1.1020804166793823,0.00014507638033768534,7.261178519633039e-05,0.8796025824546814,7.262021925256712e-05,0.9900000095367432
2,1.0779481134583464,1.101532211303711,0.030912391485724115,0.017668667168434227,0.6596457033418119,0.019338589137214375,0.9100000123938858
3,1.059793876863159,1.0521724009513855,0.08231268624484134,0.05297795660735634,0.6007434372603894,0.06565980942066287,0.8500000242500212
4,1.0427876652869503,1.026834647655487,0.18900473281741142,0.12532549258321524,0.4543791625648737,0.1641049412637949,0.5600000431893168
5,1.0356564511240056,0.9983969521522522,0.2723561677336693,0.18901112616062166,0.6226082158088684,0.24065659910440446,0.5200000360077854
6,1.018434819921983,0.9636931633949279,0.39579488575458527,0.2807619199156761,0.4893035441637039,0.443459991812706,0.24000006323294937
7,0.98611794319828,0.96110675573349,0.4603811979293823,0.33875515043735505,0.681038283109665,0.4763170713186264,0.3100000422467673
8,0.9441974099758452,0.9735739731788635,0.3618364053708501,0.2744648825319018,0.8087458801269531,0.31221465549780986,0.5800000166893006
9,0.9511600695880114,0.9083901381492615,0.4825809162855148,0.3579427245259285,0.6281081140041351,0.5238813698291779,0.24000003524720917
10,0.9301477591548346,0.9133602571487427,0.48566899478435516,0.3611998626589775,0.5993563795089721,0.5659645277261734,0.21000002526218012
11,0.9242780503973497,0.8897517490386962,0.5131274205446243,0.38794966161251065,0.6086691099405289,0.6117973750829697,0.14000003006061967
12,0.9003588921200912,0.880022509098053,0.5167240828275681,0.39828880041837694,0.6390476620197296,0.568596405684948,0.21000001547178118
13,0.895169216447172,0.8755907273292541,0.5188733977079392,0.3937425607442856,0.5240049576759338,0.7340877377986907,0.08000002021137992
14,0.9077370963265411,0.9150706934928894,0.4696828937530518,0.35559485167264937,0.4876259833574295,0.6427971351146698,0.16000001213753165
15,0.8858092147692115,0.8681208801269531,0.5590031072497368,0.44050666481256484,0.7028843069076538,0.6238955140113831,0.14000002268749628
16,0.8816351974959922,0.8880785584449769,0.5113611268997192,0.38840278685092927,0.5419412589073181,0.6920038449764252,0.0700000213421255
17,0.8677249123564864,0.8426210474967957,0.5761393940448761,0.4536684948205948,0.6234857320785523,0.7038951170444488,0.07000001039794031
18,0.8550691536042543,0.8273825573921204,0.5885099244117736,0.46374107897281647,0.5900376451015472,0.753258786201477,0.07000000789479269
19,0.8491393485955433,0.8467562651634216,0.5729800063371658,0.4462969410419464,0.6484374272823333,0.6409931713342667,0.0800000266509133
20,0.8566720010959996,0.8426947450637817,0.5600067949295044,0.4380780977010727,0.5679220449924469,0.7547251772880554,0.040000012314779676
21,0.8587034513465072,0.8273293161392212,0.5843645888566971,0.46834655821323395,0.6914791083335876,0.5971482765674591,0.1700000314180933
22,0.829096364236511,0.7802222061157227,0.6614123809337616,0.5465923917293548,0.7260348272323608,0.6919354116916656,0.08000002398768528
23,0.8190522283579396,0.7700076961517334,0.6672373986244202,0.5465517508983612,0.640704642534256,0.788712432384491,0.05000000465927336
24,0.8124835475356178,0.7873551654815674,0.6335414904356003,0.5202665400505065,0.6282654148340225,0.7603092277050019,0.06000001881347612
25,0.8151704632075487,0.8120936608314514,0.6050139188766479,0.4914291948080063,0.6315826606750489,0.7209811282157897,0.10000002125680027
26,0.8164257438836899,0.7963786602020264,0.6356464993953704,0.5229566180706025,0.7744826745986938,0.6264157259464264,0.08000003024773683
27,0.7846125506721766,0.751677143573761,0.6767576336860657,0.5689575326442718,0.6875697243213653,0.751462539434433,0.05000001681061447
28,0.7777788792036276,0.776948344707489,0.6572081744670868,0.5467967277765274,0.680370465517044,0.7282351696491242,0.080000005995426
29,0.7863588976649056,0.7456336236000061,0.7038618981838226,0.5894824814796448,0.7087941300868988,0.7828812623023986,0.03000000674585907
30,0.7750719474480215,0.7531507706642151,0.6833679544925689,0.5775139570236206,0.7122151041030884,0.726050615310669,0.09000001045250862
31,0.7777778184519405,0.7748792386054992,0.656643168926239,0.546536420583725,0.7376946496963501,0.6835573196411133,0.12000002041542686
32,0.7606544700344052,0.8030129742622375,0.6540291082859039,0.5504159486293793,0.7929820680618286,0.6471367311477662,0.14000001149762897
33,0.7738798134094846,0.7731620359420777,0.6805960154533386,0.5762897080183029,0.764351664185524,0.6638108837604523,0.14000001950287613
34,0.7504854049302835,0.7636552691459656,0.6849152839183807,0.5697315734624863,0.7795349633693696,0.6901308953762054,0.06000001825491859
35,0.7631755101997241,0.7427401304244995,0.6954577422142029,0.5853025507926941,0.7284740030765533,0.7435480773448944,0.06000000782175972
36,0.7604064292612329,0.7382601261138916,0.7063995289802552,0.5957059979438781,0.7554982244968415,0.7331749963760376,0.040000011515552686
37,0.7585273005266105,0.7566847658157348,0.6756880187988281,0.5738107705116272,0.7025790798664093,0.7279581701755524,0.1100000052599781
38,0.7461999090371934,0.7600293016433716,0.6859847176074981,0.5704785978794098,0.7265710735321045,0.7354941320419311,0.04000003220472708
39,0.7595434236315499,0.7463719534873963,0.6862692213058472,0.5783498096466064,0.6993152236938477,0.7667544054985046,0.060000017415118775
40,0.7359243515318474,0.7233293747901917,0.7314392256736756,0.6235990440845489,0.7590636324882507,0.7650842642784119,0.05000001323425838
41,0.7337342774973507,0.7206710290908813,0.7261765253543854,0.6200579035282135,0.750355122089386,0.7653305840492248,0.05000000933533451
42,0.7446780268069917,0.7257365417480469,0.723998316526413,0.612758492231369,0.7202515947818756,0.8030756831169128,0.030000008636262815
43,0.7683764305789914,0.7601164102554321,0.6913314092159272,0.5829963743686676,0.7245874035358429,0.7382132744789124,0.04000001035833893
44,0.7359246606320407,0.7869794225692749,0.6948331797122955,0.58790052652359,0.7280192196369171,0.7378512167930603,0.0500000056654645
45,0.7406401228060765,0.7244259643554688,0.7167955684661865,0.6103174650669098,0.7885982012748718,0.7373053634166717,0.0700000127761564
46,0.7267828752509261,0.741441376209259,0.7136304068565369,0.6060050648450851,0.7067731416225433,0.8036012351512909,0.04000000745570907
47,0.7909498789669138,0.8197834944725036,0.6022043544054031,0.4891265052556992,0.7132835501432419,0.6122359031438828,0.13000001303903816
48,0.7737813797672238,0.7885471606254577,0.6909059715270996,0.5771619367599488,0.6756323087215423,0.8113994383811951,0.02000000727720327
49,0.7458492886703626,0.8067302203178406,0.6724113214015961,0.5697502017021179,0.824764392375946,0.6381205081939697,0.10000002115327948
50,0.7440123331230298,0.7328916144371033,0.7101852405071258,0.6036674052476882,0.7607237148284912,0.732706960439682,0.06000000771679815
51,0.7265316849261259,0.7177855372428894,0.7186033642292022,0.6204589998722077,0.7805996799468994,0.7199906313419342,0.0700000184706669
52,0.7268911288902823,0.7498111915588379,0.6997553789615631,0.5887295365333557,0.6880194616317749,0.7926198089122772,0.03000001954055655
53,0.7244162037309292,0.7297013640403748,0.7133050012588501,0.6149646294116974,0.8016081786155701,0.7143116044998169,0.06000002406031147
54,0.7218149336038437,0.7182837200164794,0.7241036903858185,0.6222336119413376,0.7397459983825684,0.7641016840934753,0.09000000707286793
55,0.7175103821585663,0.7254620862007141,0.7165289437770843,0.6075163203477859,0.712091190814972,0.7881844544410705,0.02000002402265315
56,0.7644826748729807,0.7394193601608277,0.7031633341312409,0.5982791244983673,0.8310449242591857,0.6855840635299683,0.07000002331818873
57,0.7741043277546368,0.7556733393669128,0.6927638936042786,0.5871682888269425,0.7664100414514542,0.7085385239124298,0.07000002058115569
58,0.7465580221825996,0.729075436592102,0.7103317737579345,0.6065120893716812,0.7286517071723938,0.7867202818393707,0.05000001879792631
59,0.731607589046512,0.7627609944343567,0.7128572714328766,0.6092422556877136,0.7644605910778046,0.7404507493972778,0.060000012189664956
60,0.726717087547336,0.7311586332321167,0.7244966232776642,0.6225027823448182,0.8007353901863098,0.7311173593997955,0.0800000115792242
61,0.7275907782326757,0.7327106070518493,0.7027689278125763,0.6008201086521149,0.753592176437378,0.7686180806159973,0.09000000681005461
62,0.7474562019373463,0.7650846743583679,0.6954680979251862,0.5934068155288696,0.7838280296325684,0.694641495347023,0.10000000716581338
63,0.7101984398554911,0.7088816690444947,0.7404656147956848,0.635381920337677,0.8146330642700196,0.754249587059021,0.050000011057850145
64,0.7151694867463239,0.7309302854537963,0.7289390873908996,0.6249807846546173,0.7697013473510742,0.7638582551479339,0.06000000695661547
65,0.7345223774952171,0.756048002243042,0.7176151859760285,0.6108858519792557,0.7618912374973297,0.7659491240978241,0.06000000812886924
66,0.7176246574494691,0.7067877984046936,0.7372526693344116,0.6340899991989136,0.7818177366256713,0.7515148651599884,0.0600000167496171
67,0.7200289600718338,0.7423938155174256,0.7158990216255188,0.6138386023044586,0.7894259452819824,0.7286776459217071,0.07000002054112735
68,0.7126311301130109,0.7349698686599732,0.7071707916259765,0.6038588440418243,0.8080881941318512,0.7023220372200012,0.06000001804288601
69,0.7303368871190906,0.7466375470161438,0.7393432903289795,0.6386614274978638,0.7652936279773712,0.7745395612716675,0.0500000094537309
70,0.715150653260999,0.7517097687721253,0.7278252041339874,0.6294189143180847,0.7784006309509277,0.7462538993358612,0.060000013863497355
71,0.703732628210456,0.775468647480011,0.7021154987812043,0.6018198978900909,0.7673817789554596,0.7196458554267884,0.0600000116760117
72,0.7087956397934297,0.7506262516975403,0.7133571600914002,0.6143382418155671,0.7604555225372315,0.7428743517398835,0.050000011053042505
73,0.7104176087717039,0.7096019673347473,0.7389389252662659,0.637013053894043,0.7844010758399963,0.748228268623352,0.030000027186217172
74,0.7788295060132457,0.7534675836563111,0.6826746261119843,0.5809217739105225,0.7727279615402222,0.7061280155181885,0.02000002228609201
75,0.7312994594067599,0.7229040479660034,0.7333714914321899,0.6221486449241638,0.756688368320465,0.7856619930267335,0.030000008091671956
76,0.8023349252422299,0.8416804385185241,0.5761920022964477,0.4586458134651184,0.6838826525211334,0.6351276454329491,0.08000001131679083
77,0.8083790551244685,0.7842788743972778,0.6554838562011719,0.5436838686466217,0.7831353116035461,0.6657249689102173,0.07000001800117328
78,0.7635038310447625,0.7368736100196839,0.7159863424301147,0.6111130428314209,0.7997024738788605,0.7447643136978149,0.04000003499190962
79,0.8053287051420296,0.8360981273651124,0.6066167956590652,0.48660957753658296,0.6758188474178314,0.6848618632555008,0.06000001648164222
80,0.7904967781716743,0.7534077501296997,0.685894638299942,0.5798648309707641,0.747612612247467,0.7263290840387344,0.03000002372554227
81,0.7435178171216914,0.7383685684204102,0.7156699752807617,0.6075481975078583,0.7562630522251129,0.773059892654419,0.06000000791876756
82,0.7410829552506979,0.7507244348526001,0.6938133323192597,0.5829398715496064,0.7367857360839843,0.7736409997940064,0.04000002047065667
83,0.7531270347865282,0.7543004512786865,0.6875397598743439,0.5736652612686157,0.7327882289886475,0.75235422372818,0.030000027153478825
84,0.7540048413572058,0.748144633769989,0.6973229897022247,0.5890216493606567,0.7485315597057343,0.7544174635410309,0.04000001124050836
85,0.7919575724981528,0.7596088004112244,0.6941146719455719,0.5847429168224335,0.8031119251251221,0.7146629595756531,0.030000027335567284
86,0.7641172351035397,0.7663761401176452,0.6973502373695374,0.588185828924179,0.7983958792686462,0.7231272113323212,0.04000002424872898
87,0.7465815960833456,0.7402779006958008,0.7198282670974732,0.6111863541603089,0.7977293109893799,0.7530755615234375,0.03000002260319179
88,0.7390043951768791,0.7362704062461853,0.7237106144428254,0.6220657181739807,0.8205660533905029,0.7384531497955322,0.04000001859253571
89,0.7363486448220448,0.7489770197868347,0.7210418605804443,0.6154616463184357,0.8338050889968872,0.727878133058548,0.040000027950906535
90,0.7286371609805959,0.7364125967025756,0.720830637216568,0.6156118476390838,0.8208018445968628,0.7418609464168548,0.04000001889696106
91,0.723860484308901,0.7370103287696839,0.7277483487129212,0.6245929360389709,0.8446117949485779,0.7174870133399963,0.08000001201773242
92,0.7262040904137941,0.7315370464324951,0.7237273728847504,0.6194161522388458,0.7935179376602173,0.7590208768844604,0.05000001164545047
93,0.7190897944754204,0.7270755624771118,0.7360812664031983,0.6369834470748902,0.8404036974906921,0.7387617909908295,0.05000002793033833
94,0.7188507302672462,0.6944492840766907,0.7610286128520966,0.6600791633129119,0.7926725745201111,0.8221373057365418,0.02000000773457999
95,0.7083072361692918,0.7021557664871216,0.7503270483016968,0.6483048439025879,0.8132755517959595,0.7850101780891419,0.02000001371976422
96,0.7103669253070798,0.7137046265602112,0.7374297642707824,0.6361306202411652,0.7738874316215515,0.7977082324028015,0.03000001122600814
97,0.6988046322248679,0.7120864415168762,0.7505213487148285,0.6511362171173096,0.8062128162384034,0.7878274846076966,0.040000006939718905
98,0.7001594621523292,0.7141632962226868,0.7530504035949707,0.6462262845039368,0.8188879203796386,0.7691535115242004,0.020000014504742303
99,0.6920273161567418,0.7080356216430664,0.7486577200889587,0.6491710662841796,0.8299638772010803,0.7644338011741638,0.0500000099008642
100,0.699115869745744,0.7146240830421448,0.7467293882369995,0.6428088486194611,0.827067334651947,0.7568650484085083,0.020000021042137668
101,0.69519486680495,0.7040377044677735,0.7565388786792755,0.6556227374076843,0.7880601000785827,0.8215409040451049,0.03000001132591402
102,0.6956530176432787,0.6990167570114135,0.7634368050098419,0.6641401302814484,0.8199527955055237,0.7858144092559814,0.040000018773752866
103,0.7087480631549802,0.70958993434906,0.7443087983131409,0.6412713348865509,0.8045788121223449,0.7878887057304382,0.03000001689295752
104,0.7107473279522584,0.7235749816894531,0.7362789797782898,0.6317378652095794,0.7961817348003387,0.7620703315734864,0.030000016200671525
105,0.6945996600969703,0.7001985859870911,0.7552174925804138,0.6550030410289764,0.8149803829193115,0.7909799981117248,0.04000001476576875
106,0.695356090511896,0.7328002047538758,0.7273476886749267,0.628632800579071,0.8332872438430786,0.7350713443756104,0.07000000942276634
107,0.694788023433854,0.6988002467155456,0.7574655723571777,0.6590404856204987,0.7980115175247192,0.8042133069038391,0.04000001065701189
108,0.685924237808295,0.7065075540542602,0.7399671041965484,0.6378891634941101,0.7577263283729553,0.8088347411155701,0.04000000588271958
109,0.6911686078637047,0.7138368129730225,0.7444509506225586,0.6487679123878479,0.8214561104774475,0.7598189043998719,0.060000021306259976
110,0.6808422413547482,0.7008047461509704,0.7540786421298981,0.6580182152986527,0.7843215095996857,0.8164501941204071,0.03000002205396533
111,0.6887489525617752,0.7479484152793884,0.7152349543571472,0.6183708238601685,0.855341556072235,0.687562028169632,0.09000003415771517
112,0.6806557516081143,0.6991232872009278,0.7512787050008773,0.6568165749311448,0.7885838925838471,0.7698589301109314,0.05000001805625872
113,0.6839033006566816,0.711835331916809,0.7427989017963409,0.6458112692832947,0.8466088509559632,0.7494314408302307,0.050000010873971344
114,0.6855192295217936,0.7086493968963623,0.7536710715293884,0.6522866880893707,0.7910622096061707,0.7836200761795044,0.03000002256678398
115,0.684003539317477,0.6883815956115723,0.7589243352413177,0.6609345722198486,0.7837432217597962,0.8273620295524597,0.030000011523269074
116,0.6786020951988423,0.7006804060935974,0.768372073173523,0.6686274123191833,0.7967270517349243,0.804369181394577,0.010000014842373183
117,0.6832620844376825,0.6879114294052124,0.7667104375362396,0.6710005378723145,0.7907299470901489,0.7995377612113953,0.02000002064626794
