epoch,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall
1,0.6299579850340311,0.5772259497642517,0.009760300609725719,0.005047174621524946,0.5348608214035631,0.005348637671484814
2,0.56396875813999,0.5452698731422424,0.12459997863550769,0.07928226586473272,0.43673550508916376,0.10097206784016813
3,0.5501673735875999,0.5146362102031707,0.2173549295961857,0.1453053620457649,0.6514592063426972,0.16393412351608277
4,0.5153377056121826,0.5232462739944458,0.247208109498024,0.17285008944571018,0.7545055639743805,0.1867233084142208
5,0.4809544062719936,0.4336711210012436,0.4740810340642929,0.3496622771024704,0.5368470549583435,0.5994645929336548
6,0.4533524750608259,0.45164646089077,0.42887834951281545,0.3236763608455658,0.7703910744190217,0.4009359946846962
7,0.43310827544305175,0.40643266677856443,0.4801078057289124,0.36556095123291016,0.6786794042587281,0.5128735026717186
8,0.41769975054580555,0.4066197341680527,0.48315739780664446,0.3700873896479607,0.7060972785949707,0.5114853829145432
9,0.4006479222953847,0.38593855142593386,0.512315788269043,0.39230602711439133,0.6511157667636871,0.5750005155801773
10,0.3944585734764032,0.39820501923561097,0.49348375737667083,0.3679643738269806,0.48626434683799746,0.7136293458938598
11,0.39509575055763785,0.3855947411060333,0.5219973802566529,0.3959507369995117,0.5549763017892837,0.6841100090742112
12,0.3889821086045915,0.3814128291606903,0.5293208867311477,0.4098305469751358,0.7613958263397217,0.5197346967458725
13,0.3751492901845316,0.35502498149871825,0.5511769688129425,0.43225308299064635,0.6680601191520691,0.5925066417455673
14,0.37032904601202604,0.3872332113981247,0.5412702161073685,0.4219812542200089,0.7512338173389435,0.5500386229157448
15,0.364645202339223,0.389333530664444,0.5421338033676147,0.4288465040922165,0.6783286476135254,0.5804303246736526
16,0.34693536518421847,0.33204187095165255,0.6103362679481507,0.49176527440547946,0.720465463399887,0.6454838418960571
17,0.3442954192910574,0.3199542605876923,0.6074103462696075,0.4884049010276794,0.6498222768306732,0.7133315849304199
18,0.34360609236544215,0.3137886783480644,0.6340751874446869,0.5166699808835983,0.7549779272079468,0.6263662481307983
19,0.33550284947969217,0.33697698652744296,0.5838069075345993,0.4654272848367691,0.7556192541122436,0.5795607167482376
20,0.32604258962437116,0.2872069329023361,0.6465851294994355,0.5291735970973969,0.7388966405391693,0.660920639038086
21,0.31969019058531367,0.338832303583622,0.6135461044311523,0.5045324450731278,0.7917642593383789,0.6114009737968444
22,0.3290054039881293,0.3575937360525131,0.5586463963985443,0.42828413426876066,0.5915520656108856,0.7020483577251434
23,0.31704773022010263,0.3064017605781555,0.6200500947237014,0.5051757204532623,0.7099801588058472,0.6715859878063202
