epoch,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall
1,0.6469657489683776,0.6217192792892456,6.517393605354193e-10,6.517393605354193e-10,1.0,6.517393605354193e-10
2,0.5805828724287253,0.5514671874046325,0.09612339460463122,0.06334231873913528,0.4929004028439522,0.08358379175491422
3,0.5352317822717987,0.5090338850021362,0.2659789742529392,0.18452879078686238,0.5366887348890305,0.2472693979740143
4,0.5180901655581145,0.4698091447353363,0.414342557489872,0.29918882429599764,0.6243002963066101,0.429820197224617
5,0.49569838184171017,0.43874157071113584,0.4233007419109345,0.3058567753434181,0.5038408091664315,0.5538872909545899
6,0.4587790830209192,0.45531275749206546,0.4233302277326584,0.3033721984922886,0.40269914269447327,0.6833999723196029
7,0.4547482312253091,0.4367794847488403,0.4770848560333252,0.35868927747011187,0.6088373112678528,0.547567928135395
8,0.4286376302484917,0.506147238612175,0.3505773167591542,0.2698035602644086,0.8761766457557678,0.31818817619234324
9,0.4220878367139175,0.39258184731006623,0.5086073595285415,0.38340492665767667,0.5530636984109879,0.6506620675325394
10,0.4073726971328786,0.3967558366060257,0.5121866393089295,0.39192252784967424,0.675733163356781,0.5563854059576988
11,0.40645096721374885,0.38521548807621003,0.5063808810710907,0.38532801270484923,0.5142069554328919,0.6693343293666839
12,0.39945782391370926,0.3862201076745987,0.5142737618088722,0.4008689841628075,0.7753514075279235,0.5073269087076188
13,0.3879594540437766,0.3796970117092133,0.5153704857826233,0.39528413593769074,0.51912526845932,0.6926655340194702
14,0.37434371145425643,0.4270230436325073,0.46705603182315825,0.35494475305080414,0.41086436867713927,0.7759403133392334
15,0.36174363860514314,0.341869221329689,0.5790899372100831,0.4486723613739014,0.6076589477062225,0.7256547343730927
16,0.34707565210034363,0.3307033669948578,0.5961359441280365,0.46518697500228884,0.6197266602516174,0.7290011239051819
17,0.3228728998023852,0.30650062978267667,0.6249017775058746,0.5036233484745025,0.6832570374011994,0.6713900804519654
18,0.3166160168109742,0.30278346955776214,0.6175084602832794,0.49481910943984986,0.6376787221431732,0.7017073678970337
19,0.32230190161318906,0.3079079604148865,0.6181583237648011,0.49665642380714414,0.6308816945552826,0.7123740035295486
20,0.30511829230637677,0.2909728392958641,0.6523534047603607,0.5324216222763062,0.6757516860961914,0.7244001758098603
21,0.31091455475682706,0.28730317860841753,0.633583608865738,0.5187176847457886,0.77789808511734,0.6218954962491989
22,0.2984702888777298,0.2747204473614693,0.6571175229549407,0.5519156682491303,0.7653793954849243,0.6522574722766876
23,0.29590634368689717,0.26891483247280124,0.6689325582981109,0.5554412567615509,0.7929623341560363,0.6612837040424346
24,0.28409079515037283,0.2521876496076584,0.6913119256496429,0.5788548505306244,0.7524012207984925,0.719338231086731
25,0.28208518245842606,0.2508680659532547,0.6992766463756561,0.5842464339733123,0.6990620636940003,0.7610668826103211
26,0.28072474290311866,0.26009136289358137,0.6784938383102417,0.5634358656406403,0.6972872424125671,0.7451914811134338
27,0.2666905970040676,0.30087991058826447,0.621075896024704,0.5070562243461609,0.6059826719760895,0.7786730086803436
28,0.26677567103004035,0.27647075802087784,0.6879314506053924,0.5828183144330978,0.7575802981853486,0.7029620981216431
29,0.26313552056002404,0.25118841767311095,0.688845032453537,0.5771265506744385,0.7260825419425965,0.732995138168335
30,0.26315510942213305,0.25015136778354646,0.7145157599449158,0.609338515996933,0.731030467748642,0.7616956460475922
31,0.2555912868243403,0.35843536019325256,0.6109096002578736,0.5017069786787033,0.8543814611434937,0.5472796303033829
32,0.25124576440559027,0.2612811908125877,0.7027386832237243,0.5872533249855042,0.680057419538498,0.8112385654449463
33,0.2481800323698373,0.26672435641288755,0.7104359579086303,0.6029169726371765,0.7529058504104614,0.7324957120418548
34,0.23700532673207003,0.24657642275094985,0.7139987444877625,0.6049737453460693,0.7300860595703125,0.7765757274627686
35,0.25194611565201686,0.23569954603910445,0.7134146785736084,0.6069614982604981,0.7612063312530517,0.7586992394924164
36,0.2537412882774277,0.3193326425552368,0.6246304333209991,0.5145814132690429,0.7982939958572388,0.6096271622180939
37,0.25280167920663293,0.2719797992706299,0.6796905601024628,0.566899846792221,0.7092098224163056,0.7469136881828308
38,0.25453786031071063,0.24222766071558,0.7180598711967469,0.6080800426006318,0.7313239169120789,0.7760994529724121
39,0.23488649903936723,0.23160913318395615,0.7145015478134156,0.6052556550502777,0.7016874766349792,0.8051792287826538
40,0.22667543906553655,0.2684669107198715,0.7004309833049774,0.5977867394685745,0.8081458115577698,0.697528195977211
41,0.24027475915783275,0.2367676767706871,0.7091251468658447,0.6087229192256928,0.791865770816803,0.7205426168441772
42,0.2358040045452329,0.2250030019879341,0.7185069239139557,0.6088792550563812,0.7449267029762268,0.7941514015197754
43,0.23363123115448825,0.22595780313014985,0.7280843079090118,0.62394415974617,0.8036740803718567,0.7264623188972473
44,0.2326537327494769,0.22883167892694473,0.7211940670013428,0.6122576010227203,0.7762156844139099,0.7668316304683686
45,0.2734990194439888,0.303312603533268,0.6163731473684311,0.5005758482217789,0.70763358771801,0.6659183704853058
46,0.27185052778341073,0.25483094304800036,0.7017260229587555,0.5893970310688019,0.6914351987838745,0.8007074952125549
47,0.2386846182027222,0.28093124777078626,0.6792664909362793,0.5782092976570129,0.7766692435741425,0.6657547497749329
48,0.23114699975842923,0.23502576291561128,0.7166937685012817,0.6081675827503205,0.702643483877182,0.8248402917385101
49,0.2280312585355961,0.22989362359046936,0.7200466847419739,0.614794065952301,0.8364105176925659,0.699053806066513
50,0.2607854118784972,0.23473859429359437,0.7237916934490204,0.6188976353406906,0.7847921633720398,0.7613107562065125
51,0.2282421849668026,0.21308366239070892,0.7445893108844757,0.6434884464740753,0.8099146389961243,0.7544038438796997
52,0.21782855679635452,0.24555038541555405,0.7091773498058319,0.6004684150218964,0.8102825546264648,0.7122531163692475
53,0.22980692824431226,0.2329067447781563,0.740180242061615,0.6361256957054138,0.7776577365398407,0.763631637096405
54,0.22188131006813683,0.24250250816345215,0.7225404930114746,0.6208479070663452,0.7379445147514343,0.7830458605289459
55,0.21936735273462482,0.23004023492336273,0.7153400433063507,0.6085488015413284,0.7488039803504943,0.7694420289993286
56,0.20907847774503505,0.27710512578487395,0.6910848581790924,0.5934813070297241,0.8208669924736023,0.6845963227748871
57,0.21865013535175704,0.21718392819166182,0.74265873670578,0.640999219417572,0.8058742809295655,0.7599734783172607
58,0.20436874394659446,0.21105074197053908,0.7306409668922424,0.6276197952032089,0.8129398155212403,0.7334404480457306
59,0.2118422801779435,0.23867978483438493,0.7157969665527344,0.6163457119464875,0.8112287306785584,0.7162932288646698
60,0.20116325072218885,0.22966424703598023,0.7238095831871033,0.6245536971092224,0.8130974113941193,0.7161375212669373
61,0.20255885985309044,0.21267000555992127,0.7436264491081238,0.6363086235523224,0.7372393727302551,0.8318347215652466
62,0.20193468340862114,0.24250583469867706,0.7072716808319092,0.6026386225223541,0.7631556558609008,0.7391040408611298
63,0.20018297592095569,0.20742679834365846,0.7441320753097534,0.6331747698783875,0.7190579462051392,0.8570993161201477
64,0.1938308187949974,0.20501632004976272,0.750870612859726,0.6478068804740906,0.7596994757652282,0.8177509379386901
65,0.19893821981628385,0.22146447151899337,0.7217793643474579,0.6239217913150787,0.771156700849533,0.7600000846385956
66,0.20614425188540358,0.21109789997339248,0.7339377963542938,0.6351962208747863,0.8107899498939514,0.748829175233841
67,0.19737788896381328,0.20362171202898025,0.7541310667991639,0.6472627687454223,0.7420382404327392,0.8455093312263489
68,0.21934363536075152,0.21078294903039932,0.7353135824203492,0.6320176601409913,0.7702221322059631,0.7998561358451843
69,0.1916529284048397,0.20596619009971617,0.7498893916606904,0.6469047439098358,0.7779460954666138,0.8123022186756134
70,0.193840964672576,0.25734910696744917,0.6971220993995666,0.599650149345398,0.7991281914710998,0.7292990040779114
71,0.1934224933188046,0.21345781713724135,0.7337459743022918,0.6351407670974731,0.8326808273792267,0.7288123714923859
72,0.19665913646463798,0.2125409471988678,0.7429885077476501,0.6446604907512665,0.8165052270889283,0.7647673761844636
73,0.18821686219456976,0.21181292593479156,0.7361892318725586,0.6356775283813476,0.7968297576904297,0.7613354599475861
74,0.18819126697768152,0.20499277114868164,0.7449201416969299,0.6426636040210724,0.8318570923805236,0.7507147061824798
75,0.19709938326108772,0.20460703432559968,0.7467793548107147,0.6409564971923828,0.7572497475147247,0.8074043917655945
76,0.19065414830646685,0.21106540828943252,0.7391888320446014,0.6363629668951034,0.8253201246261597,0.774576221704483
77,0.17937249350732407,0.2180859398841858,0.7367610287666321,0.6360238146781921,0.8187809562683106,0.763221914768219
78,0.18416109051456495,0.2185356017947197,0.7318892192840576,0.6317972469329834,0.794464054107666,0.7722647452354431
79,0.18736382679337948,0.20279633939266206,0.7515778267383575,0.6491130340099335,0.7967067813873291,0.7936622023582458
80,0.18970577946278902,0.22843006044626235,0.7207284939289093,0.6205372703075409,0.8216216468811035,0.7321941483020783
81,0.1952889771654015,0.23737816035747528,0.7231514859199524,0.6257624673843384,0.8381605100631714,0.7124703741073608
82,0.1905545957254625,0.2054232358932495,0.7531008768081665,0.6544090473651886,0.803404700756073,0.7818313145637512
83,0.17237452780250953,0.2136942809820175,0.7324616837501526,0.628591593503952,0.7077629625797272,0.8621377038955689
84,0.18435464136764013,0.199844878166914,0.7535223937034607,0.652015095949173,0.7980207633972168,0.8005938386917114
85,0.17883337978108793,0.20951830103993416,0.757335535287857,0.6574178552627563,0.8156215071678161,0.7861264669895172
86,0.17876408796394821,0.20207747250795363,0.753980872631073,0.652867534160614,0.8032905650138855,0.8025132322311401
87,0.17543086132644553,0.20085561364889146,0.7526280665397644,0.6481734955310822,0.7891807556152344,0.8096968555450439
88,0.18330973904349107,0.20959980607032777,0.7412858641147614,0.6393176484107971,0.7956879806518554,0.8029674696922302
89,0.18419718778634495,0.1899252438545227,0.7704610180854797,0.670636842250824,0.7812927436828613,0.8362328362464905
90,0.1803938312604364,0.2209782876074314,0.7357963705062867,0.6377303075790405,0.7936857318878174,0.7628604769706726
91,0.17911252916782303,0.21377928376197816,0.7368666815757752,0.6383790862560272,0.786825989484787,0.7896765327453613
92,0.17685730603680147,0.19807608127593995,0.7550404095649719,0.6530789279937744,0.7729666495323181,0.8274487972259521
93,0.17136418305139625,0.22326902523636818,0.7386127805709839,0.634904316663742,0.7879822552204132,0.7746151733398438
94,0.17323133220846673,0.1954721286892891,0.762570105791092,0.6606973874568939,0.7691800963878631,0.8455029129981995
95,0.17913071949661305,0.20660372510552405,0.743966748714447,0.6509193474054337,0.8027278709411622,0.7592513555288315
96,0.16816866720935938,0.19556147515773772,0.7627194738388061,0.6635812187194824,0.7657455325126648,0.8279533696174621
