epoch,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall
1,0.6246424196040736,0.5800977694988251,0.09409877827391028,0.052656074725091456,0.29256028939038514,0.06529709545895457
2,0.5642253432126172,0.5568201398849487,0.07451216988447927,0.04804506810913667,0.7327213990688324,0.05039165720536063
3,0.5449955291980135,0.5354692053794861,0.1188098384134355,0.08156015903368825,0.8462254774570465,0.0847649144596653
4,0.5200157228824311,0.4837413239479065,0.36662523716688156,0.2592124539613724,0.45467639327049253,0.4318119519948959
5,0.5006860333733854,0.4498844063282013,0.39400674402713776,0.2885497882962227,0.6155007958412171,0.39699006974697115
6,0.47655310066400375,0.42036943793296816,0.4617541974782944,0.3374126517772675,0.5155536818504334,0.596927723288536
7,0.44376593749080084,0.4140486961603165,0.4649098986387253,0.34752851009368896,0.5719569861888886,0.5327153888344764
8,0.4159184062639169,0.5339146047830582,0.3007244896143675,0.23208493787795306,0.9404519677162171,0.2557201728597283
9,0.4137903206643805,0.37914739549160004,0.4975582855939865,0.3765893453359604,0.5777844095230102,0.5970314210653305
10,0.3994585242682854,0.3438547468185425,0.57040287733078,0.44665894627571107,0.658584007024765,0.6510704398155213
11,0.3852309485716102,0.34758958101272586,0.5750337034463883,0.45998666524887083,0.74226926445961,0.6123040902614594
12,0.3698296866058248,0.3559823298454285,0.5707279402017593,0.44856675565242765,0.7215760087966919,0.5911841103434563
13,0.36689562594468617,0.3193648141622543,0.5941103601455688,0.4736830353736877,0.6340766155719757,0.6964439427852631
14,0.36292590491012133,0.3680984616279602,0.5201205736398697,0.4026296800374985,0.5860998463630677,0.5690724116563797
15,0.35404805100597114,0.31737059116363525,0.6166235017776489,0.4938240718841553,0.6737709736824036,0.6834889209270477
16,0.335209378758363,0.3252453196048737,0.6111630195379257,0.4893426781892776,0.7646179735660553,0.6119766962528229
17,0.32532813624206897,0.32014875650405883,0.6041268056631088,0.485854572057724,0.7062328255176544,0.647301105260849
18,0.32383555747502674,0.25727383673191073,0.6857662379741669,0.5642906177043915,0.7188912832736969,0.74568696975708
19,0.3019878099449968,0.26556040048599244,0.6635941553115845,0.5450568854808807,0.7526380848884583,0.6842455363273621
20,0.2886200755570842,0.26349350541830063,0.6757058882713318,0.5615761792659759,0.6931097078323364,0.7822049653530121
21,0.29203707342390467,0.2900331461429596,0.6418179500102997,0.5295339345932006,0.7886338686943054,0.6457743573188782
22,0.2873978619092861,0.2655005484819412,0.6754553401470185,0.5584553807973862,0.7644128203392029,0.7039326429367065
23,0.274927201524245,0.2548413038253784,0.6868053150177001,0.5738123667240143,0.8055422687530518,0.6901074755191803
